movie_id,title,tags
57201,The Lone Ranger,action adventure western texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto johnnydepp armiehammer williamfichtner goreverbinski
49521,Man of Steel,action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse henrycavill amyadams michaelshannon zacksnyder
2454,The Chronicles of Narnia: Prince Caspian,adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld benbarnes williammoseley annapopplewell andrewadamson
24428,The Avengers,sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse robertdowneyjr. chrisevans markruffalo josswhedon
1865,Pirates of the Caribbean: On Stranger Tides,adventure action fantasy sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnnydepp penélopecruz ianmcshane robmarshall
41154,Men in Black 3,action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory willsmith tommyleejones joshbrolin barrysonnenfeld
122917,The Hobbit: The Battle of the Five Armies,action adventure fantasy corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery martinfreeman ianmckellen richardarmitage peterjackson
1930,The Amazing Spider-Man,action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger andrewgarfield emmastone rhysifans marcwebb
20662,Robin Hood,action adventure robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland russellcrowe cateblanchett maxvonsydow ridleyscott
57158,The Hobbit: The Desolation of Smaug,adventure fantasy elves dwarves orcs hobbit dragon wizard swordandsorcery martinfreeman ianmckellen richardarmitage peterjackson
2268,The Golden Compass,adventure fantasy england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel dakotabluerichards nicolekidman danielcraig chrisweitz
254,King Kong,adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur naomiwatts jackblack adrienbrody peterjackson
597,Titanic,drama romance thriller shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s katewinslet leonardodicaprio francesfisher jamescameron
271110,Captain America: Civil War,adventure action sciencefiction civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d chrisevans robertdowneyjr. scarlettjohansson anthonyrusso
44833,Battleship,thriller action adventure sciencefiction fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna peterberg
135397,Jurassic World,action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan colintrevorrow
37724,Skyfall,action adventure thriller spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao danielcraig judidench javierbardem sammendes
558,Spider-Man 2,action adventure fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain tobeymaguire kirstendunst jamesfranco samraimi
68721,Iron Man 3,action adventure sciencefiction terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis robertdowneyjr. gwynethpaltrow doncheadle shaneblack
12155,Alice in Wonderland,family fantasy adventure basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d miawasikowska johnnydepp annehathaway timburton
36668,X-Men: The Last Stand,adventure action sciencefiction thriller mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger hughjackman halleberry ianmckellen brettratner
62211,Monsters University,animation family monster dormitory games animation bestfriend university scary aftercreditsstinger billycrystal johngoodman stevebuscemi danscanlon
8373,Transformers: Revenge of the Fallen,sciencefiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger shialabeouf meganfox joshduhamel michaelbay
91314,Transformers: Age of Extinction,sciencefiction action adventure sequel alien transformers giantrobot robot imax transformingrobot markwahlberg stanleytucci kelseygrammer michaelbay
68728,Oz: The Great and Powerful,fantasy adventure family circus witch magic hope illusion lost magictrick wizard 3d jamesfranco milakunis rachelweisz samraimi
102382,The Amazing Spider-Man 2,action adventure fantasy obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers andrewgarfield emmastone jamiefoxx marcwebb
20526,TRON: Legacy,adventure action sciencefiction artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy garretthedlund jeffbridges oliviawilde josephkosinski
49013,Cars 2,animation family adventure comedy carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger owenwilson larrythecableguy michaelcaine johnlasseter
44912,Green Lantern,adventure action thriller sciencefiction dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d ryanreynolds blakelively petersarsgaard martincampbell
10193,Toy Story 3,animation family comedy hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory tomhanks timallen nedbeatty leeunkrich
534,Terminator Salvation,action sciencefiction thriller savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles christianbale samworthington antonyelchin mcg
168259,Furious 7,action carrace speed revenge suspense car race musclecar vindiesel paulwalker dwaynejohnson jameswan
72190,World War Z,action drama horror sciencefiction thriller dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse bradpitt mireilleenos abigailhargrove marcforster
127585,X-Men: Days of Future Past,action adventure fantasy sciencefiction 1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture hughjackman jamesmcavoy michaelfassbender bryansinger
54138,Star Trek Into Darkness,action adventure sciencefiction spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d chrispine zacharyquinto zoesaldana j.j.abrams
81005,Jack the Giant Slayer,action family fantasy basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor bryansinger
64682,The Great Gatsby,drama romance basedonnovel infidelity obsession hope 3d leonardodicaprio tobeymaguire careymulligan bazluhrmann
9543,Prince of Persia: The Sands of Time,adventure fantasy action romance persia sandstorm brotheragainstbrother armageddon regent basedonvideogame jakegyllenhaal gemmaarterton benkingsley mikenewell
68726,Pacific Rim,action sciencefiction adventure dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d idriselba charliehunnam charlieday guillermodeltoro
38356,Transformers: Dark of the Moon,action sciencefiction adventure moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger shialabeouf johnmalkovich kenjeong michaelbay
217,Indiana Jones and the Kingdom of the Crystal Skull,adventure action savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology  harrisonford cateblanchett shialabeouf stevenspielberg
105864,The Good Dinosaur,adventure animation family tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey raymondochoa jackbright jeffreywright petersohn
62177,Brave,animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebelliousdaughter turnsintoanimal archery ruins aftercreditsstinger peaceoffering womandirector courage 3d kellymacdonald juliewalters billyconnolly brendachapman
188927,Star Trek Beyond,action adventure sciencefiction sequel stranded hatred spaceopera chrispine zacharyquinto karlurban justinlin
10681,WALL·E,animation family romanticcomedy benburtt elissaknight jeffgarlin andrewstanton
5174,Rush Hour 3,action comedy crime thriller ambassador christucker jackiechan hiroyukisanada brettratner
14161,2012,action adventure sciencefiction civilization naturaldisaster endoftheworld disaster apocalypse destruction volcaniceruption mayan ark solar destructionofmankind johncusack amandapeet chiwetelejiofor rolandemmerich
17979,A Christmas Carol,animation drama holiday basedonnovel victorianengland money christmaseve scrooge christmascarol ghost lesson charlesdickens christmas garyoldman jimcarrey stevevalentine robertzemeckis
76757,Jupiter Ascending,sciencefiction fantasy action adventure jupiter space womandirector 3d interspeciesromance milakunis channingtatum seanbean lillywachowski
258489,The Legend of Tarzan,action adventure africa feralchild tarzan jungle animalattack alexanderskarsgård margotrobbie christophwaltz davidyates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",adventure family fantasy savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice winter cupboard beaver lion fairy-talefigure battle narnia fantasyworld duringcreditsstinger williammoseley annapopplewell skandarkeynes andrewadamson
246655,X-Men: Apocalypse,sciencefiction mutant supernaturalpowers marvelcomic superhero basedoncomicbook superhuman apocalypse superheroteam worlddomination aftercreditsstinger 1980s jamesmcavoy michaelfassbender jenniferlawrence bryansinger
155,The Dark Knight,drama action crime thriller dccomics crimefighter secretidentity scarecrow sadism chaos gothamcity vigilante joker superhero basedoncomicbook tragichero organizedcrime criminalmastermind districtattorney imax supervillain superpowers batman christianbale heathledger aaroneckhart christophernolan
14160,Up,animation comedy family adventure agedifference centralandsouthamerica balloon animation floatingintheair duringcreditsstinger exploring edasner christopherplummer jordannagai petedocter
15512,Monsters vs Aliens,animation family adventure sciencefiction alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie conradvernon
1726,Iron Man,action sciencefiction adventure middleeast armsdealer malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse counterterrorism agentcoulson robertdowneyjr. terrencehoward jeffbridges jonfavreau
44826,Hugo,adventure drama family library clock filmdirector key toy boy love orphan robot automaton hiding filmmaking legbrace doberman 3d benkingsley sachabaroncohen asabutterfield martinscorsese
8487,Wild Wild West,action adventure comedy sciencefiction western steampunk basedontvseries steamlocomotive drag willsmith kevinkline kennethbranagh barrysonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,adventure action fantasy brendanfraser jetli johnhannah robcohen
297761,Suicide Squad,action adventure crime fantasy sciencefiction dccomics shareduniverse antihero secretmission villain superhero supervillain dcextendeduniverse willsmith margotrobbie joelkinnaman davidayer
2698,Evan Almighty,fantasy comedy family fathersonrelationship dailylife marriedcouple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah'sark stevecarell laurengraham johngoodman tomshadyac
137113,Edge of Tomorrow,action sciencefiction dejavu timewarp restart dystopia war alien militaryofficer soldier alieninvasion exoskeleton tomcruise emilyblunt brendangleeson dougliman
9804,Waterworld,adventure action ocean tattoo mutant water dystopia doomsday kevincostner chaimgirafi rickaviles kevinreynolds
14869,G.I. Joe: The Rise of Cobra,adventure action thriller sciencefiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra dennisquaid channingtatum marlonwayans stephensommers
150540,Inside Out,drama comedy animation family dream cartoon imaginaryfriend animation family moving kids unicorn duringcreditsstinger 3d emotions amypoehler phyllissmith richardkind petedocter
278927,The Jungle Book,family adventure drama fantasy basedonnovel snake wolf elephant tiger feralchild panther remake bear jungle talkinganimal orphan animal talkingtoanimals neelsethi billmurray benkingsley jonfavreau
10138,Iron Man 2,adventure action sciencefiction malibu marvelcomic superhero basedoncomicbook revenge aftercreditsstinger marvelcinematicuniverse robertdowneyjr. gwynethpaltrow doncheadle jonfavreau
58595,Snow White and the Huntsman,adventure fantasy drama queen magic fairytale immortality forest deception woman eternalyouth snowwhite evilqueen evilstepmother imprisoned sorceress kristenstewart charlizetheron chrishemsworth rupertsanders
102651,Maleficent,fantasy adventure action family romance fairytale villain sleepingbeauty darkfantasy basedonfairytale adaptation retelling literaryadaptation 3d angelinajolie ellefanning sharltocopley robertstromberg
119450,Dawn of the Planet of the Apes,sciencefiction action drama thriller leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medicalresearch animalattack plague 3d andyserkis jasonclarke garyoldman mattreeves
79698,The Lovers,action adventure sciencefiction romance joshhartnett simonekessell tamsinegerton rolandjoffé
64686,47 Ronin,drama action adventure fantasy japan suicide samurai basedontruestory samuraisword ronin shogun halfbreed 3d keanureeves hiroyukisanada koushibasaki carlrinsch
100402,Captain America: The Winter Soldier,action adventure sciencefiction washingtond.c. future shield marvelcomic superhero basedoncomicbook captainamerica aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d politicalthriller chrisevans samuell.jackson scarlettjohansson anthonyrusso
10192,Shrek Forever After,comedy adventure fantasy animation family ogre 3d mikemyers eddiemurphy camerondiaz mikemitchell
158852,Tomorrowland,adventure family mystery sciencefiction inventor apocalypse destiny imax dreamer futuristiccar futuristiccity brittrobertson georgeclooney raffeycassidy bradbird
177572,Big Hero 6,adventure family animation action comedy brotherbrotherrelationship hero talent revenge bestfriend anotherdimension robot boygenius hate aftercreditsstinger moraldilemma 3d teensuperheroes deadbrother scottadsit ryanpotter danielhenney chriswilliams
82690,Wreck-It Ralph,family animation comedy adventure supportgroup productplacement bullying racing arcade medal selfesteem curiosity precociouschild aftercreditsstinger duringcreditsstinger firstpersonshooter glitch carefree videogamer q*bert interruptedwedding socialreject johnc.reilly sarahsilverman jackmcbrayer richmoore
5255,The Polar Express,adventure animation family fantasy santaclaus nerd faith gift bell beard northpole chute trestle ticket christmas tomhanks michaeljeter nonagaye robertzemeckis
47933,Independence Day: Resurgence,action adventure sciencefiction alternatehistory alieninvasion liamhemsworth jeffgoldblum billpullman rolandemmerich
10191,How to Train Your Dragon,fantasy adventure animation family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior jaybaruchel gerardbutler craigferguson chrissanders
296,Terminator 3: Rise of the Machines,action thriller sciencefiction savingtheworld artificialintelligence manvsmachine cyborg killerrobot sunglasses leatherjacket nanotechnology rocketlauncher firemen veterinarian fireengine dystopia psychiatrist arnoldschwarzenegger nickstahl clairedanes jonathanmostow
118340,Guardians of the Galaxy,action sciencefiction adventure marvelcomic spaceship space outerspace orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse chrispratt zoesaldana davebautista jamesgunn
157336,Interstellar,adventure drama sciencefiction savingtheworld artificialintelligence fathersonrelationship singleparent nasa expedition wormhole spacetravel famine blackhole dystopia raceagainsttime quantummechanics spaceship space rescue familyrelationships farmhouse robot astronaut scientist fatherdaughterrelationship singlefather farmer spacestation imax astrophysics zerogravity courage timeparadox relativity matthewmcconaughey jessicachastain annehathaway christophernolan
27205,Inception,action thriller sciencefiction mystery adventure lossoflover dream kidnapping sleep subconsciousness heist redemption femalehero leonardodicaprio josephgordon-levitt ellenpage christophernolan
315011,Shin Godzilla,action adventure drama horror sciencefiction monster godzilla giantmonster destruction kaiju toyko hirokihasegawa yutakatakenouchi satomiishihara hideakianno
49051,The Hobbit: An Unexpected Journey,adventure fantasy action riddle elves dwarves orcs middle-earth(tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel undergroundlake buriedtreasure climbingatree invisibility ancient gnomes ianmckellen martinfreeman richardarmitage peterjackson
9799,The Fast and the Furious,action crime thriller streetgang carrace undercover auto-tuning losangeles car automobileracing aftercreditsstinger duringcreditsstinger paulwalker vindiesel michellerodriguez robcohen
4922,The Curious Case of Benjamin Button,fantasy drama thriller mystery romance diary navy funeral tea travel hospital cateblanchett bradpitt tildaswinton davidfincher
49538,X-Men: First Class,action sciencefiction adventure cia mutant mine marvelcomic superhero basedoncomicbook superhuman historicalfiction nuclearwar cubanmissilecrisis worldwariii 1960s jamesmcavoy michaelfassbender jenniferlawrence matthewvaughn
131634,The Hunger Games: Mockingjay - Part 2,action adventure sciencefiction revolution strongwoman dystopia gameofdeath 3d basedonyoungadultnovel jenniferlawrence joshhutcherson liamhemsworth francislawrence
27022,The Sorcerer's Apprentice,fantasy adventure action comedy drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana nicolascage jaybaruchel monicabellucci jonturteltaub
503,Poseidon,adventure action drama thriller newyear'seve fire drowning cataclysm lossoffather atlanticocean ball self-abandonment shipwreck giantwave blackout ship daughter single escape capsizedship kurtrussell richarddreyfuss joshlucas wolfgangpetersen
241259,Alice Through the Looking Glass,fantasy basedonnovel clock queen sequel aliceinwonderland darkfantasy madhatter 3d johnnydepp miawasikowska annehathaway jamesbobin
810,Shrek the Third,fantasy adventure animation comedy family ambush sadness stage liberationofprisoners island traitor shipwreck prince ship donkey kingdom theatreplay transformation conciliation tricks heirtothethrone assault boardingschool coupd'etat teacher bestfriend dragon cowardliness pregnancy capture duringcreditsstinger mikemyers eddiemurphy camerondiaz chrismiller
68735,Warcraft,action adventure fantasy videogame elves orcs magic chase basedoncomicbook sorcerer fictionalwar basedonvideogame wizard fictionallanguage muscles orc swordandsorcery paulapatton travisfimmel benfoster duncanjones
87101,Terminator Genisys,sciencefiction action thriller adventure savingtheworld artificialintelligence cyborg killerrobot future timetravel dystopia sequel fiction duringcreditsstinger 3d arnoldschwarzenegger jasonclarke emiliaclarke alantaylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,adventure family fantasy basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snowing quest skandarkeynes georgiehenley simonpegg michaelapted
676,Pearl Harbor,history romance war nurse patriotism hawaii worldwarii pilot pearlharbor u.s.airforce airplane war army love pin-up benaffleck joshhartnett katebeckinsale michaelbay
1858,Transformers,adventure sciencefiction action destroy transformation alien basedontoy transformers robot duringcreditsstinger teenagehero shialabeouf joshduhamel meganfox michaelbay
1966,Alexander,war history action adventure drama romance aristotle egypt greece persia elephant campaign alexanderthegreat homosexuality gayrelationship ancientworld colinfarrell angelinajolie valkilmer oliverstone
675,Harry Potter and the Order of the Phoenix,adventure fantasy family mystery prophecy witch lossoflover magic cuttingthecord childhero dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft blackmagic deathofafriend sorcery occultism danielradcliffe rupertgrint emmawatson davidyates
674,Harry Potter and the Goblet of Fire,adventure fantasy family magic dyinganddeath broom sorcerer'sapprentice schoolofwitchcraft chosenone blackmagic boardingschool vision tournament teenager wizard teenagehero basedonyoungadultnovel danielradcliffe rupertgrint emmawatson mikenewell
8960,Hancock,fantasy action flying alcohol loveofone'slife forbiddenlove lovers affection advertisingexpert alcoholism invulnerability superhero pokies duringcreditsstinger willsmith charlizetheron jasonbateman peterberg
6479,I Am Legend,drama horror action thriller sciencefiction savingtheworld lostcivilisation post-apocalyptic dystopia matteroflifeanddeath alone helplessness virus pandemic willsmith alicebraga charlietahan francislawrence
118,Charlie and the Chocolate Factory,adventure comedy family fantasy londonengland fathersonrelationship chocolate factoryworker basedonnovel parentskidsrelationship candy overweightchild grandfathergrandsonrelationship teacher johnnydepp freddiehighmore davidkelly timburton
2062,Ratatouille,animation comedy family fantasy paris brotherbrotherrelationship expensiverestaurant river cook mouse confidence roof window leavingone'sfamily work restaurantcritic kitchen spice court cookbook family chef rat pattonoswalt ianholm louromano janpinkava
272,Batman Begins,action crime drama himalaya martialarts dccomics crimefighter secretidentity undercover hero lossoffather society gothamcity vigilante superhero basedoncomicbook rivalry tragichero ninja goodvsevil crime superpowers hauntedbythepast evildoctor escapade mastervillain fightingcrime unfulfillment loveandromance unfulfilledlove christianbale michaelcaine liamneeson christophernolan
10527,Madagascar: Escape 2 Africa,family animation africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger benstiller jadapinkettsmith davidschwimmer ericdarnell
18360,Night at the Museum: Battle of the Smithsonian,adventure fantasy action comedy family museum theodoreroosevelt duringcreditsstinger ameliaearhart smithsonian benstiller amyadams owenwilson shawnlevy
2080,X-Men Origins: Wolverine,adventure action thriller sciencefiction corruption mutant boxer army marvelcomic superhero aftercreditsstinger duringcreditsstinger hughjackman lievschreiber dannyhuston gavinhood
605,The Matrix Revolutions,adventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine flying philosophy fortuneteller kungfu undergroundworld killerrobot temple subway dream sun hero fight sunlight computervirus key future precognition supercomputer machinetown yingyang dyinganddeath virtualreality dystopia computer faith worldreligion truth rescue mission cyberpunk womandirector yinyang gnosticism keanureeves laurencefishburne carrie-annemoss lillywachowski
109445,Frozen,animation adventure family queen musical princess betrayal snowman animation reindeer curse snow troll mountainclimber aftercreditsstinger womandirector 3d kristenbell idinamenzel jonathangroff chrisbuck
604,The Matrix Reloaded,adventure action thriller sciencefiction savingtheworld artificialintelligence manvsmachine martialarts kungfu undergroundworld dream hero fight computervirus key future plato precognition rave dyinganddeath virtualreality dystopia computer faith worldreligion truth mission cyberpunk womandirector gnosticism keanureeves carrie-annemoss laurencefishburne lillywachowski
76338,Thor: The Dark World,action adventure fantasy marvelcomic superhero basedoncomicbook hostiletakeover norsemythology aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d asgard chrishemsworth natalieportman tomhiddleston alantaylor
76341,Mad Max: Fury Road,action adventure sciencefiction thriller future chase post-apocalyptic dystopia australia rescue survival ontherun convoy peakoil darkfuture tomhardy charlizetheron nicholashoult georgemiller
13448,Angels & Demons,thriller mystery rome vatican basedonnovel symbolism christian illuminati quantummechanics prequel antimatter conspiracy investigator catholicism cern tomhanks ewanmcgregor ayeletzurer ronhoward
10195,Thor,adventure fantasy action newmexico banishment shield marvelcomic hammer superhero basedoncomicbook redemption norsemythology aftercreditsstinger marvelcinematicuniverse 3d asgard odin heimdall chrishemsworth natalieportman tomhiddleston kennethbranagh
13053,Bolt,animation family adventure comedy hamster kidsandfamily animal catvsdog duringcreditsstinger dogcatfriendship animallead girldogrelationship johntravolta mileycyrus susieessman chriswilliams
19585,G-Force,fantasy action adventure family comedy dyr duringcreditsstinger samrockwell penélopecruz tracymorgan hoytyeatman
57165,Wrath of the Titans,adventure underworld hades mythology greekmythology zeus perseus gods ancientgreece basedongreekmyth ares 3d samworthington liamneeson ralphfiennes jonathanliebesman
62213,Dark Shadows,comedy fantasy witch imprisonment vampire curse fishoutofwater chains gothic madness oldhouse lostlove angrymob 18thcentury ghost hiddenroom oldmansion johnnydepp michellepfeiffer helenabonhamcarter timburton
177677,Mission: Impossible - Rogue Nation,action adventure thriller londonengland spy austria villain sequel mission conspiracy viennaopera vienna tomcruise rebeccaferguson simonpegg christophermcquarrie
7978,The Wolfman,drama horror thriller fathersonrelationship victorianengland remake ruralsetting werewolf beniciodeltoro anthonyhopkins emilyblunt joejohnston
5559,Bee Movie,family animation adventure comedy factoryworker tennis flower florist flowershop pilot college airplane beehive court aftercreditsstinger jerryseinfeld renéezellweger jimcummings stevehickner
49444,Kung Fu Panda 2,animation family martialarts hope fleet panda mission womandirector jackblack angelinajolie dustinhoffman jenniferyuhnelson
10196,The Last Airbender,action adventure family fantasy fire ice warship prince kingdom water village arrest remake attack avatar air spirit world domination cheering noahringer nicolapeltz jacksonrathbone m.nightshyamalan
956,Mission: Impossible III,adventure action thriller berlin cia vatican whitehouse secretidentity secret explosive mobilephone map traitor mask honeymoon shanghai pretendedmurder secretmission letter funeral coveredinvestigation toshootdead secretagent video stamp harddrive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration goodandbad researchlaboratory blast tomcruise philipseymourhoffman vingrhames j.j.abrams
117251,White House Down,action drama thriller usapresident conspiracy secretservice thewhitehouse channingtatum jamiefoxx joeyking rolandemmerich
50321,Mars Needs Moms,adventure animation family boy alien rescue martian alienabduction alieninvasion basedonchildren'sbook duringcreditsstinger sethgreen joancusack danfogler simonwells
11619,Flushed Away,adventure animation comedy family londonengland underworld return ship frog girlfriend rubin hughjackman katewinslet ianmckellen davidbowers
266647,Pan,adventure family fantasy flying magic fairytale peterpan mermaid pirate fantasyworld levimiller garretthedlund hughjackman joewright
82703,Mr. Peabody & Sherman,animation adventure family fathersonrelationship egypt intelligence adoption timetravel boy childprodigy friendship growingup children talkinganimal talkingdog dog firstlove ancientegypt timetraveler duringcreditsstinger newschool georgewashington gags trouble timeparadox prodigy tyburrell maxcharles arielwinter robminkoff
652,Troy,adventure drama war brotherbrotherrelationship adultery mythology beauty trojanwar bravery wall fraud hostility epic swordfight battlefield ancientworld pyre ancientgreece trojanhorse trojan bronzeage spartagreece helenoftroy homer'siliad bradpitt orlandobloom ericbana wolfgangpetersen
80321,Madagascar 3: Europe's Most Wanted,animation family madagascar 3d benstiller sachabaroncohen davidschwimmer conradvernon
36669,Die Another Day,adventure action thriller laser britishsecretservice secretserviceagent spacebasedweapon piercebrosnan halleberry rosamundpike leetamahori
43074,Ghostbusters,action fantasy comedy femalefriendship ghosthunting reboot ghost melissamccarthy kristenwiig katemckinnon paulfeig
95,Armageddon,action thriller sciencefiction adventure savingtheworld paris moon cataclysm asteroid selfsacrifice nasa spacemarine lossoffather daughter space wedding astronaut eiffeltowerparis duringcreditsstinger disastermovie spacecentre brucewillis billybobthornton benaffleck michaelbay
